Адр,МК,IP,CR,AR,DR,SP,BR,AC,PS,NZVCСчМК
D4,00BBE00000,10A,0000,000,0000,000,0000,0000,004,0100D5
D5,80C3101040,10A,0000,000,0000,000,0000,0000,004,0100C3
C3,0400000000,10A,0000,000,0000,000,0000,0000,004,0100C4
C4,80DE801040,10A,0000,000,0000,000,0000,0000,004,0100DE
DE,4000000000,10A,0000,000,0000,000,0000,0000,004,0100DF
DF,8001101040,10A,0000,000,0000,000,0000,0000,004,010001
01,00A0009004,10A,0000,10A,0000,000,010A,0000,004,010002
02,0104009420,10B,0000,10A,210E,000,010A,0000,004,010003
03,0002009001,10B,210E,10A,210E,000,010A,0000,004,010004
04,8109804002,10B,210E,10A,210E,000,010A,0000,004,010005
05,810C404002,10B,210E,10A,210E,000,010A,0000,004,010006
06,810C204002,10B,210E,10A,210E,000,010A,0000,004,01000C
0C,8024084002,10B,210E,10A,210E,000,010A,0000,004,010024
24,8026804002,10B,210E,10A,210E,000,010A,0000,004,010026
26,0080009001,10B,210E,10E,210E,000,010A,0000,004,010027
27,0100000000,10B,210E,10E,0280,000,010A,0000,004,010028
28,813C804002,10B,210E,10E,0280,000,010A,0000,004,010029
29,8130404002,10B,210E,10E,0280,000,010A,0000,004,01002A
2A,812D104002,10B,210E,10E,0280,000,010A,0000,004,01002B
2B,0010C09811,10B,210E,10E,0280,000,010A,0000,004,01002C
2C,80C4101040,10B,210E,10E,0280,000,010A,0000,004,0100C4
C4,80DE801040,10B,210E,10E,0280,000,010A,0000,004,0100DE
DE,4000000000,10B,210E,10E,0280,000,010A,0000,004,0100DF
DF,8001101040,10B,210E,10E,0280,000,010A,0000,004,010001
01,00A0009004,10B,210E,10B,0280,000,010B,0000,004,010002
02,0104009420,10C,210E,10B,E10D,000,010B,0000,004,010003
03,0002009001,10C,E10D,10B,E10D,000,010B,0000,004,010004
04,8109804002,10C,E10D,10B,E10D,000,010B,0000,004,010009
09,800C404002,10C,E10D,10B,E10D,000,010B,0000,004,01000A
0A,800C204002,10C,E10D,10B,E10D,000,010B,0000,004,01000B
0B,8157104002,10C,E10D,10B,E10D,000,010B,0000,004,01000C
0C,8024084002,10C,E10D,10B,E10D,000,010B,0000,004,010024
24,8026804002,10C,E10D,10B,E10D,000,010B,0000,004,010025
25,814A404002,10C,E10D,10B,E10D,000,010B,0000,004,01004A
4A,8153204002,10C,E10D,10B,E10D,000,010B,0000,004,010053
53,0080009001,10C,E10D,10D,E10D,000,010B,0000,004,010054
54,0001009010,10C,E10D,10D,0000,000,010B,0000,004,010055
55,0200000000,10C,E10D,10D,0000,000,010B,0000,004,010056
56,80C4101040,10C,E10D,10D,0000,000,010B,0000,004,0100C4
C4,80DE801040,10C,E10D,10D,0000,000,010B,0000,004,0100DE
DE,4000000000,10C,E10D,10D,0000,000,010B,0000,004,0100DF
DF,8001101040,10C,E10D,10D,0000,000,010B,0000,004,010001
01,00A0009004,10C,E10D,10C,0000,000,010C,0000,004,010002
02,0104009420,10D,E10D,10C,E10D,000,010C,0000,004,010003
03,0002009001,10D,E10D,10C,E10D,000,010C,0000,004,010004
04,8109804002,10D,E10D,10C,E10D,000,010C,0000,004,010009
09,800C404002,10D,E10D,10C,E10D,000,010C,0000,004,01000A
0A,800C204002,10D,E10D,10C,E10D,000,010C,0000,004,01000B
0B,8157104002,10D,E10D,10C,E10D,000,010C,0000,004,01000C
0C,8024084002,10D,E10D,10C,E10D,000,010C,0000,004,010024
24,8026804002,10D,E10D,10C,E10D,000,010C,0000,004,010025
25,814A404002,10D,E10D,10C,E10D,000,010C,0000,004,01004A
4A,8153204002,10D,E10D,10C,E10D,000,010C,0000,004,010053
53,0080009001,10D,E10D,10D,E10D,000,010C,0000,004,010054
54,0001009010,10D,E10D,10D,0000,000,010C,0000,004,010055
55,0200000000,10D,E10D,10D,0000,000,010C,0000,004,010056
56,80C4101040,10D,E10D,10D,0000,000,010C,0000,004,0100C4
C4,80DE801040,10D,E10D,10D,0000,000,010C,0000,004,0100DE
DE,4000000000,10D,E10D,10D,0000,000,010C,0000,004,0100DF
DF,8001101040,10D,E10D,10D,0000,000,010C,0000,004,010001
