Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
101,0200,101,0000,000,0000,000,0000,0000,004,0100
101,0200,102,0200,101,0200,000,0101,0000,004,0100
102,0280,103,0280,102,0280,000,0102,FFFF,008,1000
103,210E,104,210E,10E,0280,000,0103,0280,000,0000
104,210A,105,210A,10A,210E,000,0104,0000,004,0100
105,E10D,106,E10D,10D,0000,000,0105,0000,004,0100,10D,0000
106,A10B,107,A10B,10B,E10D,000,0106,E10D,008,1000
107,410D,108,410D,10D,0000,000,0107,E10D,008,1000
108,E10C,109,E10C,10C,E10D,000,0108,E10D,008,1000,10C,E10D
109,0100,10A,0100,109,0100,000,0109,E10D,008,1000
