Адр,МК,IP,CR,AR,DR,SP,BR,AC,PS,NZVCСчМК
D4,00BBE00000,3A4,0000,000,0000,000,0000,0000,004,0100D5
D5,80C3101040,3A4,0000,000,0000,000,0000,0000,004,0100C3
C3,0400000000,3A4,0000,000,0000,000,0000,0000,004,0100C4
C4,80DE801040,3A4,0000,000,0000,000,0000,0000,004,0100DE
DE,4000000000,3A4,0000,000,0000,000,0000,0000,004,0100DF
DF,8001101040,3A4,0000,000,0000,000,0000,0000,004,010001
01,00A0009004,3A4,0000,3A4,0000,000,03A4,0000,004,010002
02,0104009420,3A5,0000,3A4,AF40,000,03A4,0000,004,010003
03,0002009001,3A5,AF40,3A4,AF40,000,03A4,0000,004,010004
04,8109804002,3A5,AF40,3A4,AF40,000,03A4,0000,004,010009
09,800C404002,3A5,AF40,3A4,AF40,000,03A4,0000,004,01000C
0C,8024084002,3A5,AF40,3A4,AF40,000,03A4,0000,004,01000D
0D,0020011002,3A5,AF40,3A4,AF40,000,0040,0000,004,01000E
0E,811C044002,3A5,AF40,3A4,AF40,000,0040,0000,004,01001C
1C,8120024002,3A5,AF40,3A4,AF40,000,0040,0000,004,010020
20,8023014002,3A5,AF40,3A4,AF40,000,0040,0000,004,010021
21,0001009020,3A5,AF40,3A4,0040,000,0040,0000,004,010022
22,8028101040,3A5,AF40,3A4,0040,000,0040,0000,004,010028
28,813C804002,3A5,AF40,3A4,0040,000,0040,0000,004,01003C
3C,8143204002,3A5,AF40,3A4,0040,000,0040,0000,004,010043
43,8146104002,3A5,AF40,3A4,0040,000,0040,0000,004,010044
44,0010C09001,3A5,AF40,3A4,0040,000,0040,0040,000,000045
45,80C4101040,3A5,AF40,3A4,0040,000,0040,0040,000,0000C4
C4,80DE801040,3A5,AF40,3A4,0040,000,0040,0040,000,0000DE
DE,4000000000,3A5,AF40,3A4,0040,000,0040,0040,000,0000DF
DF,8001101040,3A5,AF40,3A4,0040,000,0040,0040,000,000001
01,00A0009004,3A5,AF40,3A5,0040,000,03A5,0040,000,000002
02,0104009420,3A6,AF40,3A5,0680,000,03A5,0040,000,000003
03,0002009001,3A6,0680,3A5,0680,000,03A5,0040,000,000004
04,8109804002,3A6,0680,3A5,0680,000,03A5,0040,000,000005
05,810C404002,3A6,0680,3A5,0680,000,03A5,0040,000,000006
06,810C204002,3A6,0680,3A5,0680,000,03A5,0040,000,000007
07,8078104002,3A6,0680,3A5,0680,000,03A5,0040,000,000078
78,81A4084002,3A6,0680,3A5,0680,000,03A5,0040,000,000079
79,8189044002,3A6,0680,3A5,0680,000,03A5,0040,000,000089
89,8196024002,3A6,0680,3A5,0680,000,03A5,0040,000,000096
96,819C014002,3A6,0680,3A5,0680,000,03A5,0040,000,000097
97,819A801002,3A6,0680,3A5,0680,000,03A5,0040,000,00009A
9A,0010C06010,3A6,0680,3A5,0680,000,03A5,4000,000,00009B
